title,records,taxa,org_country
EOD - eBird Observation Dataset,23369565,527,US
Artdata,8592103,2435,SE
Norwegian Species Observation Service,3737077,917,NO
Tiira information service,3310762,166,FI
NMNH occurrence DwC-A,1252194,88936,US
Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,1181274,2,BE
DOF,1093044,172,DK
Fishbase,878897,16297,SE
Continuous Plankton Recorder Dataset (SAHFOS),867233,315,GB
Australian Museum provider for OZCAM,847925,31993,AU
OEH Atlas of NSW Wildlife,841791,247,AU
SEAMAP - marine mammals, birds and turtles,706949,343,
Dutch Foundation for Applied Water Research (STOWA) - Limnodata Neerlandica,645653,1241,NL
NODC WOD01 Plankton Database,625630,2138,
Geographically tagged INSDC sequences,538878,9399,GB
Southern African Bird Atlas Project,532010,137,ZA
naturgucker,528582,1738,DE
Joint Nature Conservation Committee - Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC,485858,2944,GB
KTP Ring Data,480819,13,DK
BirdLife Australia, Birdata,478256,174,AU
Museum of Comparative Zoology, Harvard University,462431,36501,US
ECNASAP - East Coast North America Strategic Assessment (OBIS Canada),440070,270,
Royal Dutch Angling Association (SVN) - Piscaria,429934,64,NL
Natural History Museum (London) Collection Specimens,405056,73969,GB
invertebratezoology,404027,18741,US
DOF 2001-2006,370128,129,DK
Bird Ringing Centre in Sweden (NRM),369831,92,SE
Continuous Plankton Recorder database,368095,126,
``South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System``,363065,410,
Naturalis Biodiversity Center (NL) - Mollusca,350125,17047,NL
ARGOS Satellite Tracking of animals,346511,19,AU
Marine Conservation Society - Seasearch Marine Surveys,326608,1682,GB
Great Backyard Bird Count,315764,167,US
HMAP-History pf Marine Animal Populations (CoML),312340,483,
VIS - Fishes in inland waters in Flanders, Belgium,308805,49,BE
SAFRING: Historical Bird Ringing Records (2005-2009),293033,169,ZA
SEAPOP NINA,283612,59,NO
Royal Netherlands Institute for Sea Research (NIOZ) - Kom Fyke Mokbaai,273002,106,NL
Watervogels - Wintering waterbirds in Flanders, Belgium,271391,101,BE
Eremaea,256515,201,AU
Biological Records Centre - Database for the Atlas of Freshwater Fishes,254349,50,GB
European Seabirds at Sea (ESAS) bird sightings from 1980 to 2003.,253471,75,IE
North Pacific Groundfish Observer (North Pacific Research Board),221352,241,
United States Geological Survey Nonindigenous Aquatic Species Database,198532,282,US
First Bird Atlas,196068,162,AU
Queensland Museum provider for OZCAM,191071,18365,AU
Cryptogamy collection (PC) of the Muséum national d'Histoire Naturelle (MNHN - Paris),176265,8039,FR
Norwegian Biodiversity Information Centre - Other datasets,165487,1078,NO
Bernice P. Bishop Museum,158484,18805,US
Joint Nature Conservation Committee - Marine benthic dataset (version 1) commissioned by UKOOA,157902,1318,GB
Australia's Virtual Herbarium,146656,4420,AU
SLU Aqua Institute of Coastal Research Database for Coastal Fish - KUL,146382,91,SE
DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),137298,201,
LACM Vertebrate Collection,137134,6077,US
Naturalis Biodiversity Center (NL) - Botany Leiden,137134,6602,NL
CAS Ichthyology (ICH),136062,12645,US
Inventaire National du Patrimoine Naturel : Données ONEMA sur les poissons et écrevisses d'eau douce.,135765,49,FR
UF FLMNH Ichthyology,134398,4941,US
Neptune Deep-Sea Microfossil Occurrence Database,131691,684,DE
Seabirds of the Southern and South Indian Ocean,130105,111,AU
Museum Victoria provider for OZCAM,130105,11796,AU
University of British Columbia Herbarium (UBC) - Algae Collection,129741,3422,CA
Suffolk Biological Records Centre - Suffolk Biological Records Centre (SBRC) dataset,123539,621,GB
Elephant Seal Sightings, Macquarie Island,120000,1,AU
Dutch Vegetation Database (LVD),119822,46,NL
Rotherham Biological Records Centre - Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups,119678,398,GB
UWFC Ichthyology Collection,119541,3001,US
Arctic Ocean Diversity,118126,1437,
Pacific Ocean Shelf Tracking (OBIS Canada),113941,13,
SA Fauna (BDBSA),113228,173,AU
Biologiezentrum Linz,112023,2323,AT
EPA'S EMAP Database,111597,3239,
Centre for Environmental Data and Recording - Marine Data from Northern Ireland,110697,1578,GB
British Phycological Society - Seaweed data for Great Britain and Ireland,110480,603,GB
Quadrige,109775,155,FR
Invertebrates Collection of the Swedish Museum of Natural History,107728,7960,SE
ANTAVIA-TrackingKing,103455,1,
Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey,103277,84,AU
CSIRO Marine Data Warehouse (OBIS Australia),103135,1237,
Botanical Museum, Copenhagen, the Phycology Herbarium,102811,781,DK
MAL,101588,16109,US
Countryside Council for Wales - Marine data from Countryside Council for Wales (CCW) Technical Support (Research & Monitoring) Contracts, Wales,101583,1883,GB
Northern Territory Museum and Art Gallery provider for OZCAM,100722,12339,AU
Marine Biological Association - Marine survey data (Professional) held by <i>MarLIN</i>.,96437,1530,GB
South African Institute for Aquatic Biodiversity - Fish Collection (AfrOBIS),95066,4211,
Inventaire National du Patrimoine Naturel : Poissons d'eau douce de France,94819,73,FR
CAS Invertebrate Zoology (IZ),91995,11062,US
NBI,89466,2260,
Marine and Coastal Management - Linefish Dataset (First Semester of 1989) (AfrOBIS),84940,90,
NINA Vanndata fisk,84939,39,NO
Banco de Datos de la Biodiversidad de la Comunitat Valenciana,83338,1969,ES
Marine and Coastal Management - Linefish Dataset (First Semester of 1990) (AfrOBIS),82464,94,
Atlantic Reference Centre (OBIS Canada),82379,2036,
Image Database of Fishes in the Kanagawa Prefectural Museum of Natural History,82005,3483,JP
RBINS collections,81957,11148,BE
Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris),81717,7987,FR
Hawk Migration Association of North America - HawkCount,80569,3,US
ecoscope_observation_database,79467,204,FR
Southampton Oceanography Center Discovery Collections Midwater Database,79199,1530,
Marine and Coastal Management - Linefish Dataset (First Semester of 1993) (AfrOBIS),78906,98,
Inventaire National du Patrimoine Naturel : Oiseaux hivernants de France,78700,96,FR
Naturalis Biodiversity Center (NL) - Crustacea,78436,8053,NL
Conchological Society of Great Britain &amp; Ireland - Mollusc (marine) data for Great Britain and Ireland,76713,538,GB
Marine and Coastal Management - Linefish Dataset (First Semester of 1988) (AfrOBIS),76311,97,
Molluscs collection (IM) of the Muséum national d'Histoire naturelle (MNHN - Paris),75649,8364,FR
iNaturalist research-grade observations,75546,4416,US
Marine and Coastal Management - Linefish Dataset (First Semester of 1987) (AfrOBIS),75411,87,
Point Reyes Bird Observatory - Point Counts,74517,60,US
Museo Nacional de Ciencias Naturales, Madrid: MNCN_ICTIO,73098,1090,ES
Historical Bird Atlas,73061,162,AU
Marine and Coastal Management - Linefish Dataset (First Semester of 1991) (AfrOBIS),72950,99,
Scottish Natural Heritage - Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by Scottish Natural Heritage,71510,1741,GB
Marine and Coastal Management - Linefish Dataset (Second Semester of 1992) (AfrOBIS),71329,98,
Marine and Coastal Management - Linefish Dataset (First Semester of 1995) (AfrOBIS),70467,87,
Marine and Coastal Management - Demersal Surveys (years 1991-1995) (AfrOBIS),70141,392,
RSPB - Bird Conservation Targeting Project (BCTP) in the UK, archived data (2001-2008),69946,3,GB
Marine and Coastal Management - Linefish Dataset (First Semester of 1992) (AfrOBIS),69197,90,
Marine and Coastal Management - Linefish Dataset (First Semester of 1996) (AfrOBIS),67247,96,
Invertebrate Zoology Division, Yale Peabody Museum,66985,11004,US
Marine and Coastal Management - Linefish Dataset (Second Semester of 1991) (AfrOBIS),66461,91,
Marine and Coastal Management - Linefish Dataset (First Semester of 1986) (AfrOBIS),65712,84,
NatureServe Network Species Occurrence Data,65559,457,US
SLU Aqua  Institute of Freshwater Research Swedish Electrofishing Registry - SERS,65223,38,SE
Fauna Atlas N.T.,65086,139,AU
Marine and Coastal Management - Linefish Dataset (Second Semester of 1987) (AfrOBIS),64710,83,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1988) (AfrOBIS),64268,88,
Marine and Coastal Management - Linefish Dataset (First Semester of 1998) (AfrOBIS),63776,91,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1990) (AfrOBIS),63667,84,
CCAMLR historic KRILL,63364,1,
Long-term decline in krill stock and increase in salps within the Southern Ocean (SCAR-MarBIN: Antarctic OBIS),63364,1,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1993) (AfrOBIS),63316,89,
Natural History Museum Rotterdam (NL) - Mollusca collection,62960,8924,NL
Lund Museum of Zoology (MZLU),62878,3816,SE
Marine and Coastal Management - Linefish Dataset (Second Semester of 1989) (AfrOBIS),61920,83,
Atlantic and Gulf Rapid Reef Assessment -Benthic (OBIS Australia),61822,59,
Fish specimens,61290,4962,CA
Marine and Coastal Management - Linefish Dataset (Second Semester of 1986) (AfrOBIS),60901,76,
The Fish Collection,60495,5337,DK
Bureau of Rural Sciences National commercial fisheries half-degree data set 2000-2002 (OBIS Australia),59947,377,
Ifremer BIOCEAN database (Deep Sea Benthic Fauna),58834,3582,FR
Marine and Coastal Management - Linefish Dataset (Second Semester of 1995) (AfrOBIS),58579,84,
Marine and Coastal Management - Linefish Dataset (First Semester of 1999) (AfrOBIS),58435,82,
